1;1;1
0,13;0,11;0,37;-2
0,11;0,13;0,63;-2
0,13;0,13;0,89;-2
0,37;0,13;0,11;-2
0,39;0,13;0,37;-2
0,37;0,11;0,63;-2
0,63;0,11;0,13;-2
0,63;0,13;0,61;-2
0,61;0,13;0,87;-2
0,89;0,13;0,13;-2
0,87;0,13;0,39;-2
0,87;0,11;0,87;-2
0,11;0,37;0,13;-2
0,13;0,37;0,3;-2
0,13;0,39;0,87;-2
0,37;0,39;0,13;-2
0,37;0,37;0,61;-2
0,39;0,37;0,87;-2
0,63;0,37;0,11;-2
0,61;0,37;0,37;-2
0,63;0,39;0,63;-2
0,87;0,39;0,37;-2
0,89;0,37;0,63;-2
0,87;0,37;0,89;-2
0,13;0,63;0,11;-2
0,11;0,63;0,37;-2
0,13;0,61;0,63;-2
0,37;0,61;0,37;-2
0,39;0,63;0,63;-2
0,37;0,63;0,89;-2
0,61;0,63;0,13;-2
0,63;0,63;0,39;-2
0,63;0,61;0,87;-2
0,87;0,61;0,13;-2
0,87;0,63;0,61;-2
0,89;0,63;0,87;-2
0,13;0,89;0,13;-2
0,13;0,87;0,61;-2
0,11;0,87;0,87;-2
0,39;0,87;0,13;-2
0,37;0,87;0,39;-2
0,37;0,89;0,87;-2
0,63;0,89;0,37;-2
0,61;0,87;0,63;-2
0,63;0,87;0,89;-2
0,87;0,87;0,11;-2
0,89;0,87;0,37;-2
0,87;0,89;0,63;-2
0;0;0;3
0;0;0,5;3
0;0,25;0,265;3
0;0,25;0,765;3
0;0,5;0;3
0;0,5;0,5;3
0;0,75;0,235;3
0;0,75;0,735;3
0,265;0;0,25;3
0,235;0;0,75;3
0,25;0,265;0;3
0,25;0,235;0,5;3
0,235;0,5;0,25;3
0,265;0,5;0,75;3
0,25;0,765;0;3
0,25;0,735;0,5;3
0,5;0;0;3
0,5;0;0,5;3
0,5;0,25;0,235;3
0,5;0,25;0,735;3
0,5;0,5;0;3
0,5;0,5;0,5;3
0,5;0,75;0,265;3
0,5;0,75;0,765;3
0,765;0;0,25;3
0,735;0;0,75;3
0,75;0,235;0;3
0,75;0,265;0,5;3
0,735;0,5;0,25;3
0,765;0,5;0,75;3
0,75;0,735;0;3
0,75;0,765;0,5;3
